order,video_id,Location,Other locations,Activity,Other activities,Activity center,Video description accuracy (1-5),Location not in schema,Activity not in schema
90,090_00400001_2023-07-03_1_e505715506_processed_022.mp4,,,,,,,,
91,091_00370002_2024-05-11_1_e08570833f_processed_062.mp4,,,,,,,,
92,092_00240001_2024-09-08_4_f03def9007_processed_003.mp4,,,,,,,,
93,093_00320001_2024-02-23_2_b9b9b6bd6f_processed_070.mp4,,,,,,,,
94,094_00430001_2023-12-03_3_5f0f19af24_processed_050.mp4,,,,,,,,
95,095_00370002_2024-05-26_1_dbdd71cf59_processed_022.mp4,,,,,,,,
96,096_00820001_2023-06-03_2_f9eddd9b68_processed_019.mp4,,,,,,,,
97,097_00400001_2023-08-24_1_f44f05ca5f_processed_009.mp4,,,,,,,,
98,098_00370002_2024-05-18_3_e23c0133c0_processed_023.mp4,,,,,,,,
99,099_00510002_2024-09-27_1_4bc44bcdd0_processed_046.mp4,,,,,,,,
100,100_00400002_2023-12-19_1_d768b47eaf_processed_012.mp4,,,,,,,,
101,101_00370001_2023-12-31_1_c77572007a_processed_024.mp4,,,,,,,,
102,102_00430002_2024-05-24_1_2d3c0cfb49_processed_004.mp4,,,,,,,,
103,103_00370002_2024-02-10_2_868e64d15e_processed_001.mp4,,,,,,,,
104,104_00590001_2024-09-29_1_aa44184615_processed_000.mp4,,,,,,,,
105,105_00430001_2023-08-08_1_da17189201_processed_057.mp4,,,,,,,,
106,106_00400002_2024-06-23_2_83226989e5_processed_019.mp4,,,,,,,,
107,107_00400003_2024-01-26_1_d9c177c780_processed_049.mp4,,,,,,,,
108,108_00370002_2024-02-03_1_fe30a8bdd5_processed_031.mp4,,,,,,,,
109,109_00400001_2023-12-25_1_a0f98ead7d_processed_077.mp4,,,,,,,,
110,110_00320003_2024-08-04_2_b9136a428b_processed_074.mp4,,,,,,,,
111,111_00560001_2023-09-25_1_00dddf7ba3_processed_044.mp4,,,,,,,,
112,112_00500001_2023-12-02_3_f139e7d5f6_processed_078.mp4,,,,,,,,
113,113_00400002_2023-12-19_2_b1b400a485_processed_024.mp4,,,,,,,,
114,114_00420001_2024-07-13_3_e5afa217d2_processed_012.mp4,,,,,,,,
115,115_00400003_2024-03-12_1_de12daf479_processed_075.mp4,,,,,,,,
116,116_00680001_2023-06-04_1_d66f8e0116_processed_070.mp4,,,,,,,,
117,117_00500001_2024-05-25_2_469d456f3e_processed_074.mp4,,,,,,,,
118,118_00590001_2024-09-18_1_cfe14d1c73_processed_007.mp4,,,,,,,,
119,119_00320002_2024-08-31_1_14df422801_processed_030.mp4,,,,,,,,
120,120_00820001_2023-07-21_2_e5f451aa75_processed_072.mp4,,,,,,,,
121,121_00420001_2024-08-23_3_ab80f69a4f_processed_000.mp4,,,,,,,,
122,122_00680001_2023-06-03_2_a156f15d4f_processed_003.mp4,,,,,,,,
123,123_00720001_2023-07-08_2_95a6bc9b68_processed_029.mp4,,,,,,,,
124,124_00400001_2024-09-27_1_7a08cf19b0_processed_055.mp4,,,,,,,,
125,125_00400003_2024-10-13_4_1bfced7634_processed_061.mp4,,,,,,,,
126,126_00320001_2024-06-22_2_7dfc8735bf_processed_049.mp4,,,,,,,,
127,127_00420001_2024-05-26_1_7a207e427d_processed_051.mp4,,,,,,,,
128,128_00370002_2024-08-24_1_a177273099_processed_018.mp4,,,,,,,,
129,129_00680001_2023-04-25_2_18b1c0c8d7_processed_034.mp4,,,,,,,,
130,130_00400001_2023-09-02_4_bf8dd95e41_processed_011.mp4,,,,,,,,
131,131_00400003_2024-08-18_3_ee3adf368f_processed_017.mp4,,,,,,,,
132,132_00320002_2024-03-01_3_eb6c05db04_processed_015.mp4,,,,,,,,
133,133_00400001_2024-03-31_4_fe399c3401_processed_047.mp4,,,,,,,,
134,134_00370002_2024-08-22_2_230fff4d47_processed_021.mp4,,,,,,,,
135,135_00400003_2023-12-27_1_9fbaa362d2_processed_015.mp4,,,,,,,,
136,136_00370002_2024-06-15_3_c9653893ec_processed_015.mp4,,,,,,,,
137,137_00370001_2024-01-14_4_92e1de9f42_processed_022.mp4,,,,,,,,
138,138_00320001_2024-06-02_3_24aa1a230f_processed_020.mp4,,,,,,,,
139,139_00680001_2023-06-04_1_b4c956cd79_processed_063.mp4,,,,,,,,
140,140_00400001_2024-08-25_1_327f4db40f_processed_004.mp4,,,,,,,,
141,141_00430001_2023-09-07_2_31e67cae01_processed_021.mp4,,,,,,,,
142,142_00240001_2024-01-05_2_8b3defb163_processed_005.mp4,,,,,,,,
143,143_00320001_2024-06-18_1_9c52665e6f_processed_053.mp4,,,,,,,,
144,144_00490001_2024-03-13_1_20346c76c9_processed_013.mp4,,,,,,,,
145,145_00320001_2024-07-27_3_25f4499178_processed_035.mp4,,,,,,,,
146,146_00400002_2024-10-20_1_9c97c198d6_processed_022.mp4,,,,,,,,
147,147_00420001_2024-05-26_2_856f88eedf_processed_004.mp4,,,,,,,,
148,148_00320001_2024-09-29_1_444496bd56_processed_011.mp4,,,,,,,,
149,149_00370002_2024-06-02_2_621cb1aed2_processed_031.mp4,,,,,,,,
150,150_00240001_2024-09-14_3_ae59a4823b_processed_070.mp4,,,,,,,,
151,151_00370002_2024-08-11_3_ef62c695df_processed_053.mp4,,,,,,,,
152,152_00370002_2024-11-10_2_4658c846e2_processed_015.mp4,,,,,,,,
153,153_00490001_2023-12-28_1_81c1bb2f8c_processed_045.mp4,,,,,,,,
154,154_00720001_NA_2_99ec088a83_processed_090.mp4,,,,,,,,
155,155_00390001_2024-09-10_2_b1d7f06787_processed_007.mp4,,,,,,,,
156,156_00720001_2024-02-17_1_794cfdd187_processed_060.mp4,,,,,,,,
157,157_00400001_2023-08-19_1_e32b73ab53_processed_030.mp4,,,,,,,,
158,158_00320003_2024-02-21_2_2ccac45a16_processed_021.mp4,,,,,,,,
159,159_00370002_2024-02-29_3_26f4f0ffba_processed_075.mp4,,,,,,,,
160,160_00370001_2024-06-02_1_8702817dfa_processed_063.mp4,,,,,,,,
161,161_00820001_2023-10-10_1_573bbf29e9_processed_014.mp4,,,,,,,,
162,162_00420001_2024-09-01_2_82b4590693_processed_028.mp4,,,,,,,,
163,163_00320003_2024-11-30_1_4e23d29fe9_processed_074.mp4,,,,,,,,
164,164_00320001_2024-06-16_1_1f65b372c6_processed_042.mp4,,,,,,,,
165,165_00220001_2024-07-15_1_f9d611ad8c_processed_000.mp4,,,,,,,,
166,166_00370001_2024-04-20_1_a40a23a1b6_processed_018.mp4,,,,,,,,
167,167_00560001_2023-12-17_2_3eb3288acb_processed_068.mp4,,,,,,,,
168,168_00320001_2023-12-03_1_2f89e1ae2d_processed_032.mp4,,,,,,,,
169,169_00230001_2023-11-13_1_6d62274634_processed_023.mp4,,,,,,,,
170,170_00400001_2024-06-30_3_a69c8e8ddb_processed_073.mp4,,,,,,,,
171,171_00320001_2023-12-09_1_4aed36524e_processed_009.mp4,,,,,,,,
172,172_00510001_2024-05-22_1_9494400259_processed_014.mp4,,,,,,,,
173,173_00240001_2023-11-20_1_718137a969_processed_043.mp4,,,,,,,,
174,174_00400002_2024-05-19_3_014f720fa7_processed_022.mp4,,,,,,,,
175,175_00400002_2024-05-19_3_014f720fa7_processed_072.mp4,,,,,,,,
176,176_00510002_2024-11-19_1_4dfa6b038c_processed_060.mp4,,,,,,,,
177,177_00320003_2024-04-14_2_80a6fe974b_processed_067.mp4,,,,,,,,
178,178_00320002_2024-10-20_2_4c7a2c2ba7_processed_035.mp4,,,,,,,,
179,179_00320001_2023-12-03_1_2f89e1ae2d_processed_053.mp4,,,,,,,,
180,180_00240001_2024-04-14_2_4282e8dd87_processed_070.mp4,,,,,,,,
181,181_00400001_2023-11-21_1_52e0ba6946_processed_060.mp4,,,,,,,,
182,182_00240001_2024-05-12_3_60a6ae6b0a_processed_053.mp4,,,,,,,,
183,183_00400003_2024-09-08_1_0d3650681a_processed_069.mp4,,,,,,,,
184,184_00400002_2024-03-10_1_f15da920c8_processed_151.mp4,,,,,,,,
185,185_00220001_2024-07-22_2_b2cd1e94c4_processed_014.mp4,,,,,,,,
186,186_00680001_2023-05-07_3_6c286ff1e2_processed_042.mp4,,,,,,,,
187,187_00370002_2024-10-19_3_a093626fec_processed_070.mp4,,,,,,,,
188,188_00360001_2024-08-12_1_bb21623c62_processed_005.mp4,,,,,,,,
189,189_00390001_2024-11-09_4_84fc4c5e28_processed_002.mp4,,,,,,,,
190,190_00400002_2024-08-18_2_8f756076b6_processed_069.mp4,,,,,,,,
191,191_00720001_2023-07-08_4_26164a2e08_processed_033.mp4,,,,,,,,
192,192_00560001_2023-09-23_2_6a1a8ea8ff_processed_005.mp4,,,,,,,,
193,193_00550001_2023-11-20_1_2b5d0d755e_processed_052.mp4,,,,,,,,
194,194_00510001_2024-04-21_2_b4f0657787_processed_018.mp4,,,,,,,,
195,195_00320001_2023-11-01_1_2f68542bae_processed_065.mp4,,,,,,,,
196,196_00400001_2023-08-25_1_93513ae8b6_processed_008.mp4,,,,,,,,
197,197_00430001_2023-09-21_1_b072341cf1_processed_062.mp4,,,,,,,,
198,198_00420001_2024-07-13_3_e5afa217d2_processed_021.mp4,,,,,,,,
199,199_00400003_2024-04-13_2_ef0757fdc7_processed_049.mp4,,,,,,,,
200,200_00400001_2023-10-19_1_371a93f58f_processed_024.mp4,,,,,,,,
201,201_00320001_2024-09-28_2_4575e842df_processed_019.mp4,,,,,,,,
202,202_00320003_2024-07-07_1_1a765e701a_processed_070.mp4,,,,,,,,
203,203_00370002_2024-08-17_1_ba593f7277_processed_005.mp4,,,,,,,,
204,204_00320001_2024-09-08_1_d6946c3423_processed_083.mp4,,,,,,,,
205,205_00400003_2024-02-28_1_676a527df9_processed_013.mp4,,,,,,,,
206,206_00400001_2024-12-07_1_ecb6ee4478_processed_075.mp4,,,,,,,,
207,207_00510001_2024-04-27_3_6406f81341_processed_025.mp4,,,,,,,,
208,208_00320002_2024-11-15_1_67744cd4df_processed_006.mp4,,,,,,,,
209,209_00370002_2024-12-08_3_11406c49d9_processed_019.mp4,,,,,,,,
210,210_00220001_2024-07-22_3_7044af8329_processed_062.mp4,,,,,,,,
211,211_00370002_2024-06-29_2_d6ecacb907_processed_082.mp4,,,,,,,,
212,212_00370001_2024-08-18_2_18dacfd156_processed_023.mp4,,,,,,,,
213,213_00490001_2024-03-20_1_0f5a7c7573_processed_039.mp4,,,,,,,,
214,214_00400002_2024-09-18_2_6dd99362e3_processed_012.mp4,,,,,,,,
215,215_00400002_2024-08-03_1_2247cb29c2_processed_007.mp4,,,,,,,,
216,216_00590001_2024-09-18_1_cfe14d1c73_processed_008.mp4,,,,,,,,
217,217_00720001_2023-07-09_4_2d178a0413_processed_018.mp4,,,,,,,,
218,218_00400001_2023-07-01_3_6820814b81_processed_014.mp4,,,,,,,,
219,219_00320002_2024-12-01_1_e493905ddd_processed_023.mp4,,,,,,,,
220,220_00430001_2023-09-30_2_51e5692ad3_processed_044.mp4,,,,,,,,
221,221_00490001_2024-05-22_2_0b850fec3d_processed_013.mp4,,,,,,,,
222,222_00400003_2024-01-26_1_d9c177c780_processed_085.mp4,,,,,,,,
223,223_00400002_2024-07-28_2_833f0d8268_processed_017.mp4,,,,,,,,
224,224_00320001_2024-06-16_2_4739dd7b7a_processed_047.mp4,,,,,,,,
225,225_00320002_2024-12-06_1_a1a59958a3_processed_010.mp4,,,,,,,,
226,226_00400001_2024-01-02_4_e09499afab_processed_006.mp4,,,,,,,,
227,227_00510001_2024-06-15_2_05edf34cdf_processed_085.mp4,,,,,,,,
228,228_00370002_2024-10-20_1_e11d112489_processed_058.mp4,,,,,,,,
229,229_00320001_2024-09-27_1_62ebeea383_processed_072.mp4,,,,,,,,
230,230_00430001_2024-01-29_1_d2deb81762_processed_089.mp4,,,,,,,,
231,231_00400002_2024-02-25_2_00bd90483f_processed_018.mp4,,,,,,,,
232,232_00370002_2024-06-08_1_7336f4238a_processed_026.mp4,,,,,,,,
233,233_00400002_2024-08-04_1_217035f757_processed_059.mp4,,,,,,,,
234,234_00560001_2024-02-18_2_426fba3fbc_processed_039.mp4,,,,,,,,
235,235_00720001_2023-06-23_1_9352ad8204_processed_064.mp4,,,,,,,,
236,236_00440001_2024-02-22_1_37f975add4_processed_096.mp4,,,,,,,,
237,237_00680001_2023-05-16_1_c899ca30b3_processed_020.mp4,,,,,,,,
238,238_00560001_2023-12-08_3_bb1b43c816_processed_005.mp4,,,,,,,,
239,239_00400003_2023-11-30_1_97b39ebbb5_processed_024.mp4,,,,,,,,
240,240_00370001_2024-01-14_4_92e1de9f42_processed_076.mp4,,,,,,,,
241,241_00720001_2024-03-16_1_d35cc36ed0_processed_033.mp4,,,,,,,,
242,242_00220001_2024-06-04_3_90b8c14b35_processed_007.mp4,,,,,,,,
243,243_00680001_2023-06-25_2_c3c5e72f27_processed_056.mp4,,,,,,,,
244,244_00320003_2024-11-09_2_1eb2daf093_processed_007.mp4,,,,,,,,
245,245_00400001_2023-07-01_2_c82c1ef816_processed_071.mp4,,,,,,,,
246,246_00720001_2023-07-08_1_093ff171d1_processed_004.mp4,,,,,,,,
247,247_00720001_2023-08-23_1_573dd7b416_processed_048.mp4,,,,,,,,
248,248_00680001_2023-05-07_2_9f2f23c7e8_processed_016.mp4,,,,,,,,
249,249_00430001_2024-01-29_1_d2deb81762_processed_078.mp4,,,,,,,,
250,250_00510002_2024-10-28_5_ff7b05f796_processed_059.mp4,,,,,,,,
251,251_00400001_2023-07-03_2_631ede28f7_processed_057.mp4,,,,,,,,
252,252_00500001_2024-12-08_1_1cc504d507_processed_008.mp4,,,,,,,,
253,253_00370002_2024-12-14_2_0eb9832d69_processed_010.mp4,,,,,,,,
254,254_00510001_2024-04-21_4_6cdc6a13ff_processed_056.mp4,,,,,,,,
255,255_00370002_2024-09-29_3_2814d21833_processed_068.mp4,,,,,,,,
256,256_00510001_2024-04-21_2_b4f0657787_processed_017.mp4,,,,,,,,
257,257_00510002_2024-09-16_4_5fd80e8b98_processed_052.mp4,,,,,,,,
258,258_00430001_2023-10-06_4_9451466ca4_processed_003.mp4,,,,,,,,
259,259_00400002_2024-10-20_3_53b1349d42_processed_000.mp4,,,,,,,,
260,260_00400003_2023-12-27_2_e6d52ad7ad_processed_024.mp4,,,,,,,,
261,261_00500001_NA_1_985fc15624_processed_089.mp4,,,,,,,,
262,262_00370001_2024-01-03_2_e320aad0ce_processed_033.mp4,,,,,,,,
263,263_00510001_2024-04-13_2_c4a790bb60_processed_017.mp4,,,,,,,,
264,264_00490001_2024-03-20_1_0f5a7c7573_processed_030.mp4,,,,,,,,
265,265_00320001_2024-04-14_2-1_e72ea5aed2_processed_083.mp4,,,,,,,,
266,266_00430001_2023-10-14_3_952a82c336_processed_028.mp4,,,,,,,,
267,267_00240001_2024-10-10_1_04f67553b3_processed_102.mp4,,,,,,,,
268,268_00560001_2024-03-02_1_5262312a9f_processed_058.mp4,,,,,,,,
269,269_00370002_2024-08-03_1_74b5ea41b4_processed_011.mp4,,,,,,,,
270,270_00720001_2023-09-30_2_34429b42b3_processed_070.mp4,,,,,,,,
271,271_00320001_2024-01-13_3_ffe489ba4f_processed_040.mp4,,,,,,,,
272,272_00510001_2024-05-23_3_865200d8b6_processed_071.mp4,,,,,,,,
273,273_00560001_2023-05-09_2_380bb8d420_processed_052.mp4,,,,,,,,
274,274_00230001_2024-01-01_1_95fe3661f6_processed_023.mp4,,,,,,,,
275,275_00240001_2023-11-10_1_a65cadcc83_processed_017.mp4,,,,,,,,
276,276_00240001_2024-05-05_1_f813ef1107_processed_070.mp4,,,,,,,,
277,277_00400001_2023-07-19_3_086eeac132_processed_006.mp4,,,,,,,,
278,278_00510001_2024-06-12_1_bc3c85e57f_processed_014.mp4,,,,,,,,
279,279_00420001_2024-06-21_1_1fc3e7b968_processed_056.mp4,,,,,,,,
280,280_00240001_2023-11-26_1_bd6fb31b2c_processed_015.mp4,,,,,,,,
281,281_00400002_2024-08-02_1_6aad66596b_processed_002.mp4,,,,,,,,
282,282_00510001_2024-03-26_1_303886ddd1_processed_017.mp4,,,,,,,,
283,283_00720001_2023-07-07_1_77c8aa3f17_processed_051.mp4,,,,,,,,
284,284_00430001_2023-12-16_3_c0d3056f93_processed_061.mp4,,,,,,,,
285,285_00320003_2024-04-14_2_80a6fe974b_processed_039.mp4,,,,,,,,
286,286_00820001_2024-04-09_2_cc52cacdcd_processed_077.mp4,,,,,,,,
287,287_00430001_2023-09-07_2_31e67cae01_processed_020.mp4,,,,,,,,
288,288_00320003_2024-11-09_3_c8ed697945_processed_077.mp4,,,,,,,,
289,289_00320001_2024-09-15_1_a65be9ec0b_processed_027.mp4,,,,,,,,
290,290_00320002_2024-12-01_1_e493905ddd_processed_022.mp4,,,,,,,,
291,291_00370002_2024-08-24_1_a177273099_processed_020.mp4,,,,,,,,
292,292_00820001_2024-03-24_1_575afd8ff6_processed_014.mp4,,,,,,,,
293,293_00510002_2024-08-26_4_e6adec14f9_processed_014.mp4,,,,,,,,
294,294_00370001_2024-07-13_1_f518dae08a_processed_001.mp4,,,,,,,,
295,295_00820001_2023-04-15_1_00c8586f38_019.mp4,,,,,,,,
296,296_00400003_2024-06-13_2_e6466dc69a_processed_000.mp4,,,,,,,,
297,297_00560001_2023-10-27_2_4e8ca5bdc6_processed_005.mp4,,,,,,,,
298,298_00490001_2014-02-10_3_5e16cb7f8d_processed_027.mp4,,,,,,,,
299,299_00820001_2024-04-21_1_874fbcdbf2_processed_013.mp4,,,,,,,,
300,300_00320002_2024-09-23_1_e1e6eadd19_processed_033.mp4,,,,,,,,
301,301_00820001_2024-05-03_3_9adf23fca6_processed_029.mp4,,,,,,,,
302,302_00320002_2024-12-01_3_0b7d479844_processed_006.mp4,,,,,,,,
303,303_00220001_2024-03-06_3_5cfb477b9b_processed_014.mp4,,,,,,,,
304,304_00400002_2024-03-25_3_591df609ca_processed_013.mp4,,,,,,,,
305,305_00720001_2023-06-23_1_9352ad8204_processed_003.mp4,,,,,,,,
306,306_00360001_2024-11-29_1_73cdd9ad91_processed_102.mp4,,,,,,,,
307,307_00430001_2023-12-09_4_73ea99d0e7_processed_005.mp4,,,,,,,,
308,308_00320002_2024-08-18_1_41b19ba821_processed_012.mp4,,,,,,,,
309,309_00420001_2024-06-16_1_fda9339872_processed_005.mp4,,,,,,,,
